seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,20000,200000,11,0.9,200000,0,0,filtered_set,46.71375,20000,20000,22120
1,20000,200000,11,0.9,200000,0,1,set,32.40479,20000,20000,200000
1,20000,200000,11,0.9,200000,0,2,bloom,40.47896,22120,20000,0
1,20000,200000,11,0.9,200000,1,0,set,28.774165,20000,20000,200000
1,20000,200000,11,0.9,200000,1,1,filtered_set,46.615,20000,20000,22120
1,20000,200000,11,0.9,200000,1,2,bloom,41.578125,22120,20000,0
1,20000,200000,11,0.9,200000,2,0,bloom,41.803335,22120,20000,0
1,20000,200000,11,0.9,200000,2,1,set,35.51542,20000,20000,200000
1,20000,200000,11,0.9,200000,2,2,filtered_set,47.06333,20000,20000,22120
1,20000,200000,11,0.9,200000,3,0,filtered_set,47.427915,20000,20000,22120
1,20000,200000,11,0.9,200000,3,1,set,30.95979,20000,20000,200000
1,20000,200000,11,0.9,200000,3,2,bloom,40.87,22120,20000,0
1,20000,200000,11,0.9,200000,4,0,bloom,54.37667,22120,20000,0
1,20000,200000,11,0.9,200000,4,1,filtered_set,59.99271,20000,20000,22120
1,20000,200000,11,0.9,200000,4,2,set,29.33771,20000,20000,200000
1,20000,200000,11,0.9,200000,5,0,set,30.025,20000,20000,200000
1,20000,200000,11,0.9,200000,5,1,bloom,41.372915,22120,20000,0
1,20000,200000,11,0.9,200000,5,2,filtered_set,51.264585,20000,20000,22120
1,20000,200000,11,0.9,200000,6,0,bloom,50.340625,22120,20000,0
1,20000,200000,11,0.9,200000,6,1,filtered_set,47.11896,20000,20000,22120
1,20000,200000,11,0.9,200000,6,2,set,29.434585,20000,20000,200000
1,20000,200000,11,1,200000,0,0,set,33.11979,0,0,200000
1,20000,200000,11,1,200000,0,1,filtered_set,46.7475,0,0,2353
1,20000,200000,11,1,200000,0,2,bloom,41.935,2353,0,0
1,20000,200000,11,1,200000,1,0,filtered_set,49.235415,0,0,2353
1,20000,200000,11,1,200000,1,1,bloom,44.26792,2353,0,0
1,20000,200000,11,1,200000,1,2,set,38.196875,0,0,200000
1,20000,200000,11,1,200000,2,0,bloom,42.688335,2353,0,0
1,20000,200000,11,1,200000,2,1,filtered_set,47.247085,0,0,2353
1,20000,200000,11,1,200000,2,2,set,28.569585,0,0,200000
1,20000,200000,11,1,200000,3,0,bloom,46.548545,2353,0,0
1,20000,200000,11,1,200000,3,1,filtered_set,43.89875,0,0,2353
1,20000,200000,11,1,200000,3,2,set,28.63875,0,0,200000
1,20000,200000,11,1,200000,4,0,set,27.729375,0,0,200000
1,20000,200000,11,1,200000,4,1,bloom,43.23542,2353,0,0
1,20000,200000,11,1,200000,4,2,filtered_set,44.354375,0,0,2353
1,20000,200000,11,1,200000,5,0,bloom,42.1425,2353,0,0
1,20000,200000,11,1,200000,5,1,filtered_set,43.925415,0,0,2353
1,20000,200000,11,1,200000,5,2,set,28.14021,0,0,200000
1,20000,200000,11,1,200000,6,0,set,28.05667,0,0,200000
1,20000,200000,11,1,200000,6,1,filtered_set,43.90708,0,0,2353
1,20000,200000,11,1,200000,6,2,bloom,41.757915,2353,0,0
1,200000,2000000,1,0,200000,0,0,bloom,3.76292,200000,200000,0
1,200000,2000000,1,0,200000,0,1,filtered_set,27.24292,200000,200000,200000
1,200000,2000000,1,0,200000,0,2,set,21.64375,200000,200000,200000
1,200000,2000000,1,0,200000,1,0,bloom,3.824375,200000,200000,0
1,200000,2000000,1,0,200000,1,1,set,20.910835,200000,200000,200000
1,200000,2000000,1,0,200000,1,2,filtered_set,27.86021,200000,200000,200000
1,200000,2000000,1,0,200000,2,0,bloom,3.773125,200000,200000,0
1,200000,2000000,1,0,200000,2,1,set,21.256665,200000,200000,200000
1,200000,2000000,1,0,200000,2,2,filtered_set,27.74896,200000,200000,200000
1,200000,2000000,1,0,200000,3,0,bloom,3.736045,200000,200000,0
1,200000,2000000,1,0,200000,3,1,filtered_set,27.659585,200000,200000,200000
1,200000,2000000,1,0,200000,3,2,set,21.909165,200000,200000,200000
1,200000,2000000,1,0,200000,4,0,bloom,3.88917,200000,200000,0
1,200000,2000000,1,0,200000,4,1,set,20.48375,200000,200000,200000
1,200000,2000000,1,0,200000,4,2,filtered_set,27.35896,200000,200000,200000
1,200000,2000000,1,0,200000,5,0,bloom,3.69542,200000,200000,0
1,200000,2000000,1,0,200000,5,1,set,21.347705,200000,200000,200000
1,200000,2000000,1,0,200000,5,2,filtered_set,27.36396,200000,200000,200000
1,200000,2000000,1,0,200000,6,0,set,20.579375,200000,200000,200000
1,200000,2000000,1,0,200000,6,1,bloom,3.72854,200000,200000,0
1,200000,2000000,1,0,200000,6,2,filtered_set,28.336455,200000,200000,200000
1,200000,2000000,1,0.5,200000,0,0,filtered_set,37.95896,100000,100000,109376
1,200000,2000000,1,0.5,200000,0,1,set,35.369375,100000,100000,200000
1,200000,2000000,1,0.5,200000,0,2,bloom,19.87896,109376,100000,0
1,200000,2000000,1,0.5,200000,1,0,set,35.45208,100000,100000,200000
1,200000,2000000,1,0.5,200000,1,1,bloom,19.744585,109376,100000,0
1,200000,2000000,1,0.5,200000,1,2,filtered_set,37.14292,100000,100000,109376
